Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time
2          85560      2048            20.48           2024-12-18T14:47:05.073858+08:00
13         85547      2222            22.22           2024-12-18T14:47:05.079683+08:00
4          85545      2170            21.70           2024-12-18T14:47:05.081705+08:00
15         85562      2034            20.34           2024-12-18T14:47:05.083678+08:00
3          85559      2077            20.77           2024-12-18T14:47:05.096287+08:00
6          85563      1972            19.72           2024-12-18T14:47:05.12606+08:00
14         85553      1903            19.03           2024-12-18T14:47:05.131538+08:00
8          85557      2100            21.00           2024-12-18T14:47:05.13211+08:00
5          85544      2156            21.56           2024-12-18T14:47:05.13795+08:00
0          85552      2284            22.84           2024-12-18T14:47:05.143335+08:00
22         85549      2336            23.36           2024-12-18T14:47:05.149003+08:00
18         85542      2276            22.76           2024-12-18T14:47:05.151079+08:00
20         85548      2233            22.33           2024-12-18T14:47:05.151798+08:00
10         85551      2308            23.08           2024-12-18T14:47:05.153019+08:00
23         85546      2188            21.88           2024-12-18T14:47:05.161249+08:00
7          85561      2100            21.00           2024-12-18T14:47:05.164066+08:00
12         85556      2112            21.12           2024-12-18T14:47:05.165138+08:00
19         85541      2300            23.00           2024-12-18T14:47:05.16646+08:00
11         85555      2163            21.63           2024-12-18T14:47:05.167239+08:00
21         85543      2284            22.84           2024-12-18T14:47:05.168906+08:00
1          85554      2165            21.65           2024-12-18T14:47:05.181381+08:00
16         85540      2300            23.00           2024-12-18T14:47:05.192379+08:00
3          85559      2181            21.81           2024-12-18T14:47:05.199466+08:00
9          85558      2160            21.60           2024-12-18T14:47:05.205954+08:00
17         85550      2373            23.73           2024-12-18T14:47:05.208704+08:00
2          85560      2183            21.83           2024-12-18T14:47:05.209468+08:00
4          85545      2310            23.10           2024-12-18T14:47:05.221169+08:00
5          85544      2243            22.43           2024-12-18T14:47:05.225163+08:00
6          85563      2073            20.73           2024-12-18T14:47:05.227159+08:00
14         85553      2000            20.00           2024-12-18T14:47:05.22788+08:00
13         85547      2372            23.72           2024-12-18T14:47:05.230403+08:00
23         85546      2268            22.68           2024-12-18T14:47:05.240571+08:00
8          85557      2216            22.16           2024-12-18T14:47:05.248597+08:00
15         85562      2201            22.01           2024-12-18T14:47:05.250294+08:00
0          85552      2396            23.96           2024-12-18T14:47:05.255563+08:00
7          85561      2200            22.00           2024-12-18T14:47:05.264065+08:00
1          85554      2248            22.48           2024-12-18T14:47:05.264241+08:00
18         85542      2397            23.97           2024-12-18T14:47:05.272031+08:00
10         85551      2433            24.33           2024-12-18T14:47:05.277374+08:00
20         85548      2371            23.71           2024-12-18T14:47:05.289948+08:00
5          85544      2308            23.08           2024-12-18T14:47:05.290486+08:00
6          85563      2142            21.42           2024-12-18T14:47:05.296103+08:00
12         85556      2251            22.51           2024-12-18T14:47:05.304033+08:00
4          85545      2400            24.00           2024-12-18T14:47:05.31086+08:00
22         85549      2498            24.98           2024-12-18T14:47:05.31095+08:00
1          85554      2300            23.00           2024-12-18T14:47:05.316401+08:00
19         85541      2460            24.60           2024-12-18T14:47:05.327155+08:00
14         85553      2100            21.00           2024-12-18T14:47:05.327879+08:00
10         85551      2500            25.00           2024-12-18T14:47:05.344168+08:00
